threat_name,sig_type,sig_data
"_1NewWorm","SIGNATURE_TYPE_THREAT_END","17190180"
"_1Dumador","SIGNATURE_TYPE_THREAT_BEGIN","181901800000010006000900843144756D61646F7200000140058242000400"
"_1Dumador","SIGNATURE_TYPE_PEHSTR","0F0008001400000200125C54454D505C66613435333765662E746D700100183D3D3D4B45594C4F47474552204441544120454E443D3D3D01001A3D3D3D4B45594C4F4747455220444154412053544152543D3D3D01001E2A2A2A2050726F7465637465642053746F726167652044617461202A2A2A0100232A2A2A2050726F7465637465642053746F72616765204461746120656E6473202A2A2A02001E6472777872777872777820312030202020202020202020406469736B5F580100095D5C6476702E6C6F6701000A6D61696C73656E6465640200133C616464726573734079616E6465782E72753E020011736F636B732F626F742F636D642E74787401000C5C72756E646C6C6E2E7379730200125C54454D505C66653433653730312E68746D02001D2A2A2A20466172204D616E616765722070617373776F726473202A2A2A0200125B5765624D6F6E6579204944206C6973745D0200175B466172204D616E616765722070617373776F7264735D0200135B546865204261742070617373776F7264735D02001F5B546F74616C20436F6D6D616E646572206674702070617373776F7264735D0200275B50726F7465637465642053746F72616765206461746120616C72656164792073656E6465645D02003E3C43454E5445523E3C423E4B65797320656E7465726564206F6E2053524B204B65797061643C2F423E3C2F43454E5445523E3C42523E3C43454E5445523E02002F5B5761726E696E673A20746865206C61737420666F726D646174612068617665206F6E652076616C69642074616E5D0000"
"_1Dumador","SIGNATURE_TYPE_THREAT_END","18190180"
"_1Dumaru","SIGNATURE_TYPE_THREAT_BEGIN","191901800000010008000800AC3144756D61727500000140058270000400"
"_1Dumaru","SIGNATURE_TYPE_PEHSTR","080005000C000002000B3139392E3136362E362E3201001E2A2A2A2050726F7465637465642053746F726167652044617461202A2A2A0100232A2A2A2050726F7465637465642053746F72616765204461746120656E6473202A2A2A0200133C616464726573734079616E6465782E72753E0100183D3D3D4B45594C4F47474552204441544120454E443D3D3D01001A3D3D3D4B45594C4F4747455220444154412053544152543D3D3D01000C5C72756E646C6C782E73797301000C5C72756E646C6C6E2E73797301000C5C7678646C6F61642E6C6F6701000B5C54454D505C312E656D6C02001C433A5C57494E444F57535C53595354454D5C6C6F616433322E65786502002B6578706C6F7265722E65786520433A5C57494E444F57535C53595354454D5C7678646D677233322E6578650000"
"_1Dumaru","SIGNATURE_TYPE_THREAT_END","19190180"
"_1Korgo","SIGNATURE_TYPE_THREAT_BEGIN","1A1901800000010005000700A4314B6F72676F00000140058264000400"
"_1Korgo","SIGNATURE_TYPE_PEHSTR","1E0014001F000001000B617673657276652E65786501000A6674707570642E65786501000A426F74204C6F6164657202001A61767365727665322E6578655570646174652053657276696365010012687474703A2F2F25733A25642F782E65786502001B58687474703A2F2F3132372E302E302E313A3830302F652E65786503001C433A5C57494E444F57535C53595354454D5C6B7A616C61702E65786502000D4D5320436F6E666967207631330100106164756C742D656D706972652E636F6D01000C636974692D62616E6B2E727501000D636F6C6F722D62616E6B2E7275010009637275746F702E6E7501000D66696C657365617263682E727501000D6B69646F732D62616E6B2E727501000D6B6F6E6669736B61742E6F726701000C6D61737465722D782E636F6D01000D70617265782D62616E6B2E727501000E7777772E7265646C696E652E727501000D78776172652E636A622E6E657401000A61736563686B612E727501000B6D617A6166616B612E727501000B666574686172642E62697A0100096B61766B617A2E747601000F726F626F786368616E67652E636F6D01000D2942316B7A616C61702E65786501000A304142316376762E7275010035687474703A2F2F25732F696E6465782E7068703F69643D25732673636E3D256426696E663D2564267665723D313926636E743D2573010037687474703A2F2F25732F696E6465782E7068703F69643D25732673636E3D256426696E663D2564267665723D31392D3226636E743D257303001C433A5C57494E444F57535C53595354454D5C6F64737065612E657865010035687474703A2F2F25732F696E6465782E7068703F69643D25732673636E3D256426696E663D2564267665723D323026636E743D2573010037687474703A2F2F25732F696E6465782E7068703F69643D25732673636E3D256426696E663D2564267665723D31392E3226636E743D25730000"
"_1Korgo","SIGNATURE_TYPE_THREAT_END","1A190180"
"_1Lsass","SIGNATURE_TYPE_THREAT_BEGIN","1B190180000001001E000700D0314C7361737300000140058259000400"
"_1Lsass","SIGNATURE_TYPE_PEHSTR","070005000700000200095C5C25735C6970632401002D534F4654574152455C4D6963726F736F66745C57696E646F77735C43757272656E7456657273696F6E5C52756E010007352E3000352E310100165043204E4554574F524B2050524F4752414D20312E3001000B25692E25692E25692E25690300137095989999C3FD38A999999912D99512E98534030013719399C999C999C912FDBD91FD1699C9C172680100"
"_1Lsass","SIGNATURE_TYPE_THREAT_END","1B190180"
"_1RpcDcom","SIGNATURE_TYPE_THREAT_BEGIN","1C190180000001001E000900D03152706344636F6D00000140058259000400"
"_1RpcDcom","SIGNATURE_TYPE_PEHSTR","0500030008000001001174667470202D69202573204745542025730100305C005C005C00430024005C00310032003300340035003600310031003100310031003100310031003100310031003100020030EB195E31C981E989FFFFFF813680BF329481EEFCFFFFFFE2F2EB05E8E2FFFFFF0353061F7457759580BFBB927F895A1A020020EB105A4A33C966B9760180340A99E2FAEB05E8EBFFFFFF7061999999C3219569010028460058004E00420046005800460058004E00420046005800460058004600580046005800FFFFFFFF02000980340A99E2FAEB05E80200203100320037002E0030002E0030002E0031005C0049005000430024005C0045450100395C00430024005C003100320033003400350036003100310031003100310031003100310031003100310031003100310031002E0064006F00630100"
"_1RpcDcom","SIGNATURE_TYPE_THREAT_END","1C190180"
"_1P2Pworm","SIGNATURE_TYPE_THREAT_BEGIN","1D1901800000010005000900A431503250776F726D00000140058264000400"
"_1P2Pworm","SIGNATURE_TYPE_PEHSTR","090008001100000100094156505F437261636B01000D437261636B65722047616D652E010010585858205669727475616C205365782E01000C43726564697420436172642E0100074861636B65722E01000E4E6F72746F6E204B657967656E2E01000D486F746D61696C204861636B2E010009494351204861636B2E010005706F726E2E010006637261636B2E0100045C4B4D440100065C4B617A7A610100095C4D6F7270686575730100095C47726F6B7374657201000A5C4265617273686172650100095C476E75636C6575730100155C45646F6E6B6579323030305C496E636F6D696E670000"
"_1P2Pworm","SIGNATURE_TYPE_THREAT_END","1D190180"
"_1Mywife","SIGNATURE_TYPE_THREAT_BEGIN","201901800000010005000800A4314D797769666500000140058264000400"
"_1Mywife","SIGNATURE_TYPE_PEHSTR","0E000B000F000002000A6341707048696465720002000F5370726561645F4E6574776F726B0002000A5468655F426567696E0004000A574F524D5F456E67696E04000A426C61636B576F726D2E02000874696D626F6D6200020010320041004400300030004500440036000100077265674150490001000D434E6574776F726B456E756D0001000B426C6F636B496E70757400010012574E6574456E756D5265736F75726365410001000F486964654170706C69636174696F6E01001B716C28FDF500000000DB6C2CFDF510000000C4F510000000C7C40401000A6C1400047AFF6C0C000A0100146C2800F503000000C76C2800F504000000C7C51C0000"
"_1Mywife","SIGNATURE_TYPE_THREAT_END","20190180"
"_1QQShou","SIGNATURE_TYPE_THREAT_BEGIN","364501800000010003000800A031515153686F7500000140058234000400"
"_1QQShou","SIGNATURE_TYPE_PEHSTR","070007000E0000020016582D4D61696C65723A20517147686F7374205B63685D020017582D4D61696C65723A204C434D61696C6572205B63685D02000C220000007266776D61696E000100404142434445464748494A4B4C4D4E4F505152535455565758595A6162636465666768696A6B6C6D6E6F707172737475767778797A303132333435363738392B2F0100107777772E636875616E6875612E6E6574010012636875616E6875612E6E656173652E6E657401000C5243505420544F3A3C25733E01000E4D41494C2046524F4D3A3C25733E0100080074656D707E3300010008476574506978656CF1FF0B436170747572652E646C6CF1FF114D656469615472616E736D69742E646C6CF1FF1C4E65744469736B444C4C2E646C6C004261736536344465636F646500F1FF10506F6C6963794D616E6167652E646C6C0000"
"_1QQShou","SIGNATURE_TYPE_THREAT_END","36450180"
"_!Microjoin.AC","SIGNATURE_TYPE_THREAT_BEGIN","CB4801800000010025000E008C214D6963726F6A6F696E2E41430000014005825D000400"
"_!Microjoin.AC","SIGNATURE_TYPE_PEHSTR","0100010001000001002168F40100009066576633FF665F558B4B1C84D2744F9066576633FF665FD0EA72330000"
"_!Microjoin.AC","SIGNATURE_TYPE_THREAT_END","CB480180"
"_1Mocbot","SIGNATURE_TYPE_THREAT_BEGIN","77570180000001000600080084314D6F63626F7400000140058242000400"
"_1Mocbot","SIGNATURE_TYPE_PEHSTR","0C000A00180000030006BA80114000B90300080000E80F000000BA02000642E2FAC208000100044000803205001633C966B96C6C516833322E64687773325F54FFD08BD805001740003D9901000075246A006A006801020000FF75F8FF1505001A8845E0807DE0307411807DE0317402EB0FC745F401000000EB1604001025735C64646275675C646370726F6D6F04000D2E77616C6C6C6F616E2E636F6D04000D2E686F757365686F742E636F6D0300085B657865635D203A03000C506F4E4720252E353030730D03001C726573756C7420696E2073797374656D20696E73746162696C69747903001E5C43757272656E74436F6E74726F6C5365745C436F6E74726F6C5C4C736103000D2A2161646D696E4061646D696E0200075F4F736361725F0200055C495043240100085C42524F575345520100065C504950455C01000A4C414E4D414E20322E310100117265737472696374616E6F6E796D6F757301000A2A505249564D5347202A0100062A64646F732A01000C252E313238735C252E3634730000"
"_1Mocbot","SIGNATURE_TYPE_THREAT_END","77570180"
"_qFURootkit","SIGNATURE_TYPE_THREAT_BEGIN","125901800000010022000B00CC714655526F6F746B697400000140058231000400"
"_qFURootkit","SIGNATURE_TYPE_PEHSTR","160013001700000200485B2D7073735D202350494420236163636F756E745F6E616D6520746F2061646420236163636F756E745F6E616D652053494420746F2070726F63657373202350494420746F6B656E02003D5B2D7072735D2023504944202370726976696C6567655F6E616D6520746F207365742070726976696C65676573206F6E2070726F6365737320235049440100065B2D70726C5D01000B5B2D7061735D202350494402002B5B2D7068645D204452495645525F4E414D4520746F206869646520746865206E616D65642064726976657201000D5B2D70686E675D20202350494401000A5B2D70685D202350494401000B5B2D70685D20202350494401000E5B2D706C5D2020236E756D626572010020746F206C6973742074686520617661696C61626C652070726976696C6567657301002C746F207365742074686520415554485F494420746F2053595354454D206F6E2070726F63657373202350494402003E746F2068696465207468652070726F63657373207769746820235049442E205468652070726F63657373206D757374206E6F74206861766520612047554902001D746F2068696465207468652070726F6365737320776974682023504944010026746F206C6973742074686520666972737420236E756D626572206F662070726F63657373657302000955736167653A2066750200096D7364697265637478020014486964696E6720647269766572206661696C6564020015486964696E672070726F63657373206661696C656402002053657474696E672070726F636573732070726976696C656765206661696C656401001753657474696E6720417574684944206661696C65642E20020032436C69656E7420686F6F6B20616C6C6F636174696F6E206661696C7572652061742066696C6520256873206C696E65202564020018436C69656E7420686F6F6B2066726565206661696C757265020011526F6F746B69745C46757A656E5C66755C0000"
"_qFURootkit","SIGNATURE_TYPE_THREAT_END","12590180"
"_1QQpass","SIGNATURE_TYPE_THREAT_BEGIN","145A01800000010006000800843151517061737300000140058242000400"
"_1QQpass","SIGNATURE_TYPE_PEHSTR","0B00080010000001000E5B00530074006100720074005D0001000A5B00550072006C005D0001000C5B004B0069006C006C005D0002005C70006C006D006D007C007300650078007C006200650061007500740079007C0066007200650065007C004D0079002000500069006300740075007200650073007C006700690072006C0073007C00700068006F0074006F0073007C00010050320075005A0062005C0031007E002D005B00740028007E0068002A003A0035004900550032002E004000230046002C004C007E007E007C007B007E002B0029005C00760065006D00380050004C002B0001001664005F00340034003100350034002E006E006C0073000100284D00310062002600520040004600540033007A007A0067006E006A00700025003F0038006A00440001002E570076005A0066004C0061004600250045003D006D0048007E004B002B003A0032005000380034006100410054000100144B0069006C006C004D0065002E0062006100740001000C230033003200370037003000010036540045004E00430045004E0054005C0050004C004100540046004F0052004D005F0054005900500045005F004C004900530054005C0001001877006D0069006D00670072006E0074002E0065007800650001001A63003A005C00510051004D00610069006C002E0069006E006900010006546F70466F780100164800690064006500460069006C00650045007800740001005072006500670065006400690074002E006E006F00740065007000610064002E007400610073006B006D00670072002E006300740066006D006F006E002E00750073006500720069006E00690074002E000000"
"_1QQpass","SIGNATURE_TYPE_THREAT_END","145A0180"
"_aRootkitdrv.gen!B","SIGNATURE_TYPE_THREAT_BEGIN","315A01800000010022001200CC61526F6F746B69746472762E67656E214200000140058231000400"
"_aRootkitdrv.gen!B","SIGNATURE_TYPE_PEHSTR","4600320025000005001C5B416C61726D5D2057726974654D656D6F657920446574656374656405001B5B416C61726D5D20526561644D656D6F657920446574656374656405001C5B416C61726D5D204F70656E50726F6365737320446574656374656405001C5B416C61726D5D2050726F636573735363616E2044657465637465640500205B416C61726D5D204465627567506F727420436865636B20446574656374656405001C5B414C41524D5D4E6F20537570706F7274204F532056657273696F6E0500125B414C41524D5D2057696E646F77732058500500145B414C41524D5D2057696E646F777320323030300500115B416C61726D5D20486F6F6B53657475700500135B416C61726D5D20486F6F6B556E736574757005001C456E656D792050726F6365737320776173207465726D696E617465640500243A3A3A3A3A3A3A47616D6520526573697374616E6365204472697665723A3A3A3A3A3A3A02001A4F75742050726F6365737320776173207465726D696E617465640500215A7757726974655669727475616C4D656D6F727920486F6F6B20556E736574757005001F5A7757726974655669727475616C4D656D6F727920486F6F6B2053657475700500205A77526561645669727475616C4D656D6F727920486F6F6B20556E736574757005001E5A77526561645669727475616C4D656D6F727920486F6F6B2053657475700500255A77517565727953797374656D496E666F726D6174696F6E20486F6F6B20556E73657475700500235A77517565727953797374656D496E666F726D6174696F6E20486F6F6B2053657475700500195A774F70656E54687265616420486F6F6B20556E73657475700500175A774F70656E54687265616420486F6F6B20536574757002001C5C0044006F00730044006500760069006300650073005C004700520005003C5C0044006F00730044006500760069006300650073005C0063003A005C0061006E0074006900700072006500760065006E0074002E0069006E00690005003E5C0044006F00730044006500760069006300650073005C0063003A005C0061006E0074006900700072006500760065006E00740032002E0069006E0069000200145C004400650076006900630065005C00470052000A0022C74424601800000089742464C744246C40000000894C24688974247089742474FF150A000C68E04001005256565650FF15010009C70524410100A00000010009C7050C4101009C0000010009C70520410100280100010009C70520410100C40000010009C70500410100A40100010009C70508410100E40100010009C7050C410100840000010009C70524410100880000010009C70500410100B001000500298D4C246C680840010051FFD38B2D1C3001008D54246C6A018D4424205250FFD556566A206A035668800000"
"_aRootkitdrv.gen!B","SIGNATURE_TYPE_THREAT_END","315A0180"
